zone,choroplethData,datetime,event
Queensbridge/Ravenswood,"{'type': 'FeatureCollection', 'features': [{'id': '0', 'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': (((-73.93522718099996, 40.76952572899992), (-73.93577134099989, 40.7690500099999), (-73.935820709, 40.76863091499998), (-73.93593177099983, 40.76778370199996), (-73.93618379699997, 40.76769180199999), (-73.93709253699996, 40.76736039299994), (-73.93836125899996, 40.766910755999994), (-73.93858976899998, 40.766817358999965), (-73.93846096299997, 40.76676830299997), (-73.93763535299998, 40.76647487199993), (-73.93682006599995, 40.766182735999934), (-73.93600532399995, 40.76588489499992), (-73.93700478599986, 40.76423995400001), (-73.93687031099991, 40.76417791699994), (-73.93684249199987, 40.764165082999966), (-73.9362557499999, 40.76389439699996), (-73.9362163929999, 40.763875812999906), (-73.93619184999997, 40.763864223999896), (-73.93616861799997, 40.76385325299993), (-73.93614654199985, 40.76384282899995), (-73.93541372899996, 40.763496787999934), (-73.93398092199995, 40.76282598199991), (-73.93404264799992, 40.762761377999944), (-73.9341081699999, 40.76269280199998), (-73.93429712599992, 40.762495033999976), (-73.9343717929999, 40.76241688499994), (-73.93457323599993, 40.76220604499998), (-73.93463877499987, 40.76213744999998), (-73.93472503099986, 40.762047169999924), (-73.93480791700001, 40.76196041599994), (-73.93538955299994, 40.76135538399999), (-73.93543323399999, 40.76130585199997), (-73.93546712899983, 40.761270327999995), (-73.93550408999991, 40.761231589999994), (-73.93556528699992, 40.761167450999956), (-73.93560854899978, 40.76112210999989), (-73.93566314299997, 40.76106489099999), (-73.93569960399994, 40.76102667699995), (-73.93577489099982, 40.76094777199994), (-73.93581185199994, 40.76090903399995), (-73.93584407599987, 40.76087525999998), (-73.93589256999995, 40.76082443499995), (-73.93593276099996, 40.76078231199995), (-73.9360170199998, 40.76069400199994), (-73.93605584499984, 40.76065330999999), (-73.93679091699993, 40.75988288099997), (-73.93791705599988, 40.75870660499994), (-73.93910030499991, 40.75749413999994), (-73.94004034700002, 40.75648675099998), (-73.94123861599985, 40.755234415), (-73.94243020699994, 40.75399761299999), (-73.94355728100003, 40.75282055199995), (-73.94374837099986, 40.75262098099993), (-73.9438353679999, 40.75253012299995), (-73.94391620499988, 40.752450687999946), (-73.94392521099985, 40.75244110499997), (-73.94396284399984, 40.75240407599995), (-73.94401823399977, 40.752349920999976), (-73.944052652, 40.75231325999997), (-73.94458401999987, 40.75253488899999), (-73.94481659399985, 40.752631697999945), (-73.94504698699998, 40.75273571599999), (-73.94552905199996, 40.75295740699992), (-73.9457177839999, 40.75304419599998), (-73.94597511599991, 40.753156196999974), (-73.94635771599988, 40.75332271699997), (-73.94655794699989, 40.75340986100001), (-73.94745112999996, 40.75379680499993), (-73.9482744449999, 40.75415377799998), (-73.94911295099988, 40.75452361999991), (-73.95080763809156, 40.755263680057126), (-73.95077122679736, 40.75530796907791), (-73.9507348149783, 40.75535225917926), (-73.95066341780087, 40.7554363229164), (-73.94915021804697, 40.75732894544876), (-73.94844487681874, 40.75821799715233), (-73.94783189558463, 40.758989192900984), (-73.94596424209928, 40.76129260680513), (-73.94580554802424, 40.761449567060524), (-73.94570525620351, 40.76148815702829), (-73.94473048986049, 40.76285654700468), (-73.94471460801532, 40.762878840213276), (-73.94350282032728, 40.76449904074389), (-73.94158523271751, 40.76661608765772), (-73.9413117494144, 40.76691800476966), (-73.94046256885547, 40.767530469802885), (-73.94035103784384, 40.76765337598744), (-73.93983559283014, 40.767988005939), (-73.93953321663712, 40.76805874435431), (-73.93936587223878, 40.76815970137705), (-73.93895502453339, 40.76795818621705), (-73.9382038348605, 40.76872757186406), (-73.93757632517331, 40.76892399418497), (-73.93681460654729, 40.76890394747844), (-73.93668539119408, 40.76913305469093), (-73.93670737989197, 40.769252609074165), (-73.93640381736212, 40.76947488401436), (-73.93616913919553, 40.76951611465451), (-73.93574021432624, 40.769367229866575), (-73.93524016831192, 40.76967932546305), (-73.93489533894557, 40.77004186288956), (-73.93469499066988, 40.77042533852516), (-73.93514715402594, 40.77054195605849), (-73.9350081388611, 40.77116239443333), (-73.93494027200222, 40.7711640209664), (-73.93493892978363, 40.771164052837435), (-73.93490481291309, 40.771270641093395), (-73.93452730104705, 40.771176775051714), (-73.93424609599985, 40.77102927499998), (-73.93447449099996, 40.770411597), (-73.93458521599987, 40.77021742099991), (-73.93471718499994, 40.770029857999916), (-73.93486912299994, 40.76985103099993), (-73.93486925499987, 40.76985087799993), (-73.934869397, 40.76985073499989), (-73.93503989699988, 40.76968230199998), (-73.93522718099996, 40.76952572899992)),)}, 'bbox': (-73.95080763809156, 40.75231325999997, -73.93398092199995, 40.771270641093395)}], 'bbox': (-73.95080763809156, 40.75231325999997, -73.93398092199995, 40.771270641093395)}",2018-11-28 15:52:25,PICK
Queensbridge/Ravenswood,"{'type': 'FeatureCollection', 'features': [{'id': '0', 'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': (((-73.93522718099996, 40.76952572899992), (-73.93577134099989, 40.7690500099999), (-73.935820709, 40.76863091499998), (-73.93593177099983, 40.76778370199996), (-73.93618379699997, 40.76769180199999), (-73.93709253699996, 40.76736039299994), (-73.93836125899996, 40.766910755999994), (-73.93858976899998, 40.766817358999965), (-73.93846096299997, 40.76676830299997), (-73.93763535299998, 40.76647487199993), (-73.93682006599995, 40.766182735999934), (-73.93600532399995, 40.76588489499992), (-73.93700478599986, 40.76423995400001), (-73.93687031099991, 40.76417791699994), (-73.93684249199987, 40.764165082999966), (-73.9362557499999, 40.76389439699996), (-73.9362163929999, 40.763875812999906), (-73.93619184999997, 40.763864223999896), (-73.93616861799997, 40.76385325299993), (-73.93614654199985, 40.76384282899995), (-73.93541372899996, 40.763496787999934), (-73.93398092199995, 40.76282598199991), (-73.93404264799992, 40.762761377999944), (-73.9341081699999, 40.76269280199998), (-73.93429712599992, 40.762495033999976), (-73.9343717929999, 40.76241688499994), (-73.93457323599993, 40.76220604499998), (-73.93463877499987, 40.76213744999998), (-73.93472503099986, 40.762047169999924), (-73.93480791700001, 40.76196041599994), (-73.93538955299994, 40.76135538399999), (-73.93543323399999, 40.76130585199997), (-73.93546712899983, 40.761270327999995), (-73.93550408999991, 40.761231589999994), (-73.93556528699992, 40.761167450999956), (-73.93560854899978, 40.76112210999989), (-73.93566314299997, 40.76106489099999), (-73.93569960399994, 40.76102667699995), (-73.93577489099982, 40.76094777199994), (-73.93581185199994, 40.76090903399995), (-73.93584407599987, 40.76087525999998), (-73.93589256999995, 40.76082443499995), (-73.93593276099996, 40.76078231199995), (-73.9360170199998, 40.76069400199994), (-73.93605584499984, 40.76065330999999), (-73.93679091699993, 40.75988288099997), (-73.93791705599988, 40.75870660499994), (-73.93910030499991, 40.75749413999994), (-73.94004034700002, 40.75648675099998), (-73.94123861599985, 40.755234415), (-73.94243020699994, 40.75399761299999), (-73.94355728100003, 40.75282055199995), (-73.94374837099986, 40.75262098099993), (-73.9438353679999, 40.75253012299995), (-73.94391620499988, 40.752450687999946), (-73.94392521099985, 40.75244110499997), (-73.94396284399984, 40.75240407599995), (-73.94401823399977, 40.752349920999976), (-73.944052652, 40.75231325999997), (-73.94458401999987, 40.75253488899999), (-73.94481659399985, 40.752631697999945), (-73.94504698699998, 40.75273571599999), (-73.94552905199996, 40.75295740699992), (-73.9457177839999, 40.75304419599998), (-73.94597511599991, 40.753156196999974), (-73.94635771599988, 40.75332271699997), (-73.94655794699989, 40.75340986100001), (-73.94745112999996, 40.75379680499993), (-73.9482744449999, 40.75415377799998), (-73.94911295099988, 40.75452361999991), (-73.95080763809156, 40.755263680057126), (-73.95077122679736, 40.75530796907791), (-73.9507348149783, 40.75535225917926), (-73.95066341780087, 40.7554363229164), (-73.94915021804697, 40.75732894544876), (-73.94844487681874, 40.75821799715233), (-73.94783189558463, 40.758989192900984), (-73.94596424209928, 40.76129260680513), (-73.94580554802424, 40.761449567060524), (-73.94570525620351, 40.76148815702829), (-73.94473048986049, 40.76285654700468), (-73.94471460801532, 40.762878840213276), (-73.94350282032728, 40.76449904074389), (-73.94158523271751, 40.76661608765772), (-73.9413117494144, 40.76691800476966), (-73.94046256885547, 40.767530469802885), (-73.94035103784384, 40.76765337598744), (-73.93983559283014, 40.767988005939), (-73.93953321663712, 40.76805874435431), (-73.93936587223878, 40.76815970137705), (-73.93895502453339, 40.76795818621705), (-73.9382038348605, 40.76872757186406), (-73.93757632517331, 40.76892399418497), (-73.93681460654729, 40.76890394747844), (-73.93668539119408, 40.76913305469093), (-73.93670737989197, 40.769252609074165), (-73.93640381736212, 40.76947488401436), (-73.93616913919553, 40.76951611465451), (-73.93574021432624, 40.769367229866575), (-73.93524016831192, 40.76967932546305), (-73.93489533894557, 40.77004186288956), (-73.93469499066988, 40.77042533852516), (-73.93514715402594, 40.77054195605849), (-73.9350081388611, 40.77116239443333), (-73.93494027200222, 40.7711640209664), (-73.93493892978363, 40.771164052837435), (-73.93490481291309, 40.771270641093395), (-73.93452730104705, 40.771176775051714), (-73.93424609599985, 40.77102927499998), (-73.93447449099996, 40.770411597), (-73.93458521599987, 40.77021742099991), (-73.93471718499994, 40.770029857999916), (-73.93486912299994, 40.76985103099993), (-73.93486925499987, 40.76985087799993), (-73.934869397, 40.76985073499989), (-73.93503989699988, 40.76968230199998), (-73.93522718099996, 40.76952572899992)),)}, 'bbox': (-73.95080763809156, 40.75231325999997, -73.93398092199995, 40.771270641093395)}], 'bbox': (-73.95080763809156, 40.75231325999997, -73.93398092199995, 40.771270641093395)}",2018-11-28 15:54:00,DROP
